"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr7",2548137,2548991,855,"*",3,2.08858604138827e-11,8.60135906034509e-11,4.98931173914618e-05,3.12004297032336e-10,0.163031196165139,0.132778333330778,NA
"chr4",1827256,1828794,1539,"*",5,2.0942519029131e-11,8.49676282022008e-13,0.000191639755649345,1.17785239007291e-11,-0.250258785203711,-0.169081956536,"LETM1"
"chr6",3737830,3737956,127,"*",3,2.09733691196939e-11,6.56499045662163e-11,6.02937215517167e-05,2.8591579941748e-10,0.125100454382288,0.11708706143294,"PXDC1"
"chr16",29887661,29888733,1073,"*",7,2.13343172504396e-11,2.00601359582855e-11,8.01594374596872e-05,1.38431817782023e-10,0.203982564791813,0.125909368151806,"SEZ6L2"
"chr17",58216297,58217571,1275,"*",8,2.1449914147184e-11,8.5100490248122e-11,8.26363619331421e-05,7.46400494016843e-11,0.189870982874123,0.0873449508075873,"CTD-2319I12.5"
"chr7",2082529,2084320,1792,"*",9,2.15941016887012e-11,7.36855824646594e-10,0.00132741363558576,1.16049214160188e-09,0.125489886310478,0.064264214689736,"MAD1L1"
"chr7",24613676,24614348,673,"*",3,2.1647416217911e-11,4.42044310631441e-09,5.73170895436607e-05,4.41030379088873e-09,0.231817868423187,0.132157711739027,"MPP6"
"chr21",42520009,42520902,894,"*",5,2.17902216238122e-11,1.50444056727776e-08,0.000127546718555617,6.37505987152239e-09,-0.205341406360758,-0.12115340063921,"LINC00323"
"chr18",44777736,44778236,501,"*",5,2.20727140724114e-11,1.21000472084007e-11,0.000430599143483428,1.57078005122205e-10,0.151284825640368,0.0937501718506926,NA
"chr12",131303016,131303993,978,"*",7,2.21040664918538e-11,1.90047380504072e-11,0.00050790575313575,1.78212585493374e-10,-0.132125966578093,-0.0625324803587327,"STX2"
"chr1",151693199,151694320,1122,"*",10,2.27557217820006e-11,1.0041083134203e-12,0.00111749110627937,6.85547844012046e-12,0.15460681993134,0.0565431746421607,"AL589765.1, RIIAD1"
"chr1",228633275,228634806,1532,"*",9,2.28799997636812e-11,3.30182066271868e-08,0.000119140717981553,1.47532708004853e-10,0.16337565945497,0.0205694130074805,NA
"chr1",2063799,2066006,2208,"*",12,2.32119080695737e-11,1.83890045214229e-14,0.000284837527612595,3.1774062167585e-13,0.101320296084639,0.0688114381203525,"PRKCZ"
"chr16",27781069,27781794,726,"*",4,2.32331374964966e-11,4.04300250854637e-12,0.000195114141060298,4.78571994791406e-11,0.176272014705649,0.1549407508266,"KIAA0556"
"chr2",128175300,128176454,1155,"*",5,2.32499543617034e-11,3.94879703280818e-07,7.62675343634979e-05,2.34382931290077e-08,-0.233655784928977,-0.0899011478004757,"PROC"
"chr19",42408316,42409117,802,"*",4,2.34425314996415e-11,5.15565142086463e-12,8.89758135053645e-05,4.3399735316498e-11,-0.272383257047224,-0.192694258796451,"ARHGEF1"
"chr2",65593761,65594890,1130,"*",6,2.35635296900553e-11,4.09098865368275e-09,0.000320887007660329,4.40059649304192e-10,-0.115965530662493,-0.0703461528302688,"SPRED2"
"chr12",3381009,3381070,62,"*",2,2.37915598481751e-11,2.65592974907846e-10,2.61329524140341e-05,7.6917028912387e-10,0.203968807366887,0.179946900735474,"TSPAN9"
"chr5",600817,602552,1736,"*",12,2.40839506041478e-11,2.26324093644237e-09,0.000167655848494252,1.08706996125344e-10,-0.207867856334015,-0.0841651221949426,NA
"chr10",21463243,21464258,1016,"*",5,2.4160709514846e-11,9.71995788841725e-11,0.000292744288127865,5.31343099601253e-10,-0.116638241499629,-0.0664946300923161,"NEBL-AS1"
"chr10",131323903,131324189,287,"*",3,2.508341819021e-11,4.63681555959244e-11,0.000111481631327862,3.023767177308e-10,0.158100974411387,0.145568823745157,"MGMT"
"chr1",153513810,153514482,673,"*",5,2.51569865909777e-11,3.81915708831724e-05,0.000117114663291067,2.44785415785585e-07,0.0957383624105984,0.054481439387216,"S100A5"
"chr5",176936877,176938148,1272,"*",8,2.52108960512172e-11,2.36557613000774e-12,0.00140009858532201,7.39515623332902e-11,0.129961169717285,0.0972530836077351,"DOK3"
"chr2",87017419,87018966,1548,"*",10,2.53560119155537e-11,5.65067023866248e-07,0.000363170249418445,8.52340499799540e-09,0.170569021513078,0.0545607939160235,"CD8A"
"chr1",2205396,2206662,1267,"*",5,2.5522214276879e-11,2.4312725851077e-09,0.00012126953314593,1.54727341012386e-09,0.160472687180729,0.0974527863259778,"SKI"
"chr7",2150534,2151737,1204,"*",8,2.55878311348011e-11,7.57756532107253e-08,0.0013916722186162,5.05501060702573e-09,0.122509550673788,0.0643824895450167,"MAD1L1"
"chr20",22563702,22564325,624,"*",3,2.59039817674797e-11,1.26409167125791e-07,1.722143459375e-05,4.33679103302912e-08,0.148900102409422,0.0820446566801294,"FOXA2"
"chr17",78165522,78166267,746,"*",4,2.63369069168573e-11,8.53127832525823e-11,0.000153006497824614,5.54340477089232e-10,0.156703461749869,0.133274586455811,"CARD14"
"chr1",47898239,47899676,1438,"*",8,2.64667696003813e-11,9.50011866468662e-08,0.000613105838139107,1.07831484885827e-08,0.146671104796745,0.0637316592384442,"FOXD2-AS1"
"chr4",15779392,15780728,1337,"*",9,2.64735136500666e-11,1.2562264233288e-07,0.000650738845456196,1.54897121963336e-08,0.158037527057924,0.0685013600951913,"CD38"
"chr10",11298786,11299076,291,"*",2,2.64773154012847e-11,2.50365091581058e-10,2.80556538051284e-05,7.42762330402003e-10,-0.285461153422231,-0.24677691598382,"CELF2"
"chr2",106681280,106682331,1052,"*",7,2.72928035114141e-11,5.11909374769248e-10,0.00011038595330102,6.36539298339973e-10,0.141342076032793,0.0508362720323282,"C2orf40"
"chr12",81109806,81111558,1753,"*",6,2.73832160465554e-11,3.03437110571649e-08,0.000137349896529707,6.11024868298622e-09,0.162776406923571,0.0832810187171824,"MYF5"
"chr10",124893690,124894943,1254,"*",6,2.77095111686437e-11,2.98407713163444e-07,2.63010663312718e-05,3.81078716329445e-08,0.177995968314481,0.0889498596173563,NA
"chr1",163392482,163393693,1212,"*",6,2.79126903752753e-11,1.19245328353518e-13,0.000720227683459324,4.73586552104125e-12,-0.185027674202618,-0.13629980955693,"RP11-408E1.1"
"chr6",168416740,168417646,907,"*",6,2.84803624964183e-11,8.39097109440316e-11,0.000219954452984576,7.13465569797199e-10,0.163109787543497,0.113781943717202,"KIF25"
"chr6",70991156,70992041,886,"*",5,2.86280138848941e-11,1.17078858730388e-10,0.000239949631637834,5.92936433044513e-10,-0.233779188281161,-0.130113081030515,"COL9A1"
"chr12",132219020,132219529,510,"*",4,2.86509600420113e-11,2.4912127910383e-05,2.54496658550284e-05,6.56970912092162e-08,0.158836594069565,0.0590432405315362,"SFSWAP"
"chr11",31825792,31827593,1802,"*",6,2.86635533439563e-11,1.80262412146762e-09,3.26200445394582e-05,2.68425867264306e-09,0.233519831330693,0.0913912562022601,"PAX6"
"chr7",550508,553810,3303,"*",11,2.87629536682768e-11,9.55814943020038e-21,0.000192089448992896,2.96940341940696e-18,0.193673206437683,0.095477267955174,"PDGFA"
"chr3",42742993,42743921,929,"*",6,2.96968828824263e-11,3.22871862333924e-08,4.2173887569172e-05,5.37719733797622e-09,-0.166229122505891,-0.0520604330183664,"HHATL, CCDC13"
"chr19",49699496,49700021,526,"*",4,2.97763698971205e-11,6.59293940546832e-11,0.000140738740238942,3.63290184614191e-10,0.192837169991106,0.143771366566068,"TRPM4"
"chr12",6442526,6443045,520,"*",6,2.98656822245592e-11,2.10605538734633e-11,0.000689939977091684,1.92743680252617e-10,0.130820553992388,0.0841469991658921,"TNFRSF1A"
"chr5",72739768,72740737,970,"*",5,3.03572310556603e-11,3.79908725968634e-07,2.63010663312718e-05,1.28621663907355e-08,0.189581198060483,0.0957413984044238,"FOXD1"
"chr12",131159419,131159658,240,"*",3,3.07300539207216e-11,1.95516817093485e-10,4.0266291797847e-05,5.96194538788366e-10,-0.132225831410146,-0.127886397359616,"RIMBP2, RP11-662M24.2"
"chr15",31355304,31355430,127,"*",3,3.11471849960048e-11,6.65999955221178e-11,7.61178773127038e-05,3.37801248182073e-10,0.136808519790859,0.127998701319363,"TRPM1"
"chr4",111542825,111545119,2295,"*",14,3.15046737747861e-11,6.55853756750292e-15,0.00426683414043881,2.33686102905393e-13,0.181049452647658,0.0589407526158925,"PITX2"
"chr2",239329744,239330202,459,"*",3,3.24250041151261e-11,3.2668364418204e-11,9.06753902263968e-05,2.05347461968111e-10,0.178512449432991,0.148352335803371,NA
"chr17",942320,943342,1023,"*",3,3.24703023464606e-11,4.54421806098882e-11,4.74723295331615e-05,1.62213802793394e-10,0.18405522827278,0.125992010910139,"ABR"
"chr1",47881256,47883234,1979,"*",10,3.26543780633042e-11,8.22185297883578e-09,0.00128445280671573,7.49070172513525e-11,0.157433531688807,0.0622898125216817,"FOXE3"
"chr8",140714586,140716495,1910,"*",7,3.2786468719895e-11,1.35072062958646e-12,0.00110180545323243,3.28945005625352e-11,0.122811840443517,0.0772164635200516,"KCNK9"
"chr4",166129605,166131638,2034,"*",6,3.32214100598346e-11,3.32161955482974e-06,2.14634590598882e-05,9.35870388191766e-09,0.216665167578192,-0.000924564364371547,"KLHL2, TMEM192"
"chr3",15914712,15915340,629,"*",4,3.37200082911999e-11,1.26288808277057e-11,0.000271583515263371,1.51880588531697e-10,-0.178245557361742,-0.159762819236798,"MIR563"
"chr3",180587900,180588198,299,"*",3,3.39755067355766e-11,8.17546139965783e-11,6.52798523473525e-05,4.09010291995724e-10,0.134356209206235,0.122918060488749,"FXR1, CCDC39"
"chr8",143254408,143254726,319,"*",4,3.49478393218045e-11,4.16524946547496e-11,0.000113696233241676,3.06040895026842e-10,-0.211793293834311,-0.153342234836347,NA
"chr7",154540294,154540580,287,"*",3,3.49764716355223e-11,1.26265114277541e-10,6.02937215517167e-05,5.74828016878714e-10,-0.160876131263758,-0.12916610376384,"DPP6"
"chr17",48266268,48267239,972,"*",5,3.54274024030278e-11,8.77245932415951e-12,0.000150188462020055,1.06941366174283e-10,0.155527431432239,0.106253964876972,"COL1A1"
"chr1",208083913,208085043,1131,"*",11,3.60308359386864e-11,5.60620048732412e-06,0.000108585456591112,4.57556899460529e-09,0.213462692565524,0.0669794094676515,"CD34"
"chr10",8075716,8076679,964,"*",4,3.61855207702809e-11,3.33173177446442e-10,0.000104041226665177,9.22803103379878e-10,0.124361381418573,0.0949627461805581,NA
"chr7",100073281,100073936,656,"*",2,3.61855207702809e-11,1.45910790721497e-08,1.15318479547148e-05,1.06369627813545e-08,0.174312481082328,0.130966335716756,"TSC22D4"
"chr7",99227370,99227515,146,"*",3,3.61996950672021e-11,5.45823686325637e-09,2.02123845858285e-05,1.65919071214055e-09,0.126078556500109,0.0874071947875976,"ZSCAN25"
"chr2",71211981,71212504,524,"*",4,3.63398358489812e-11,2.22701998271953e-10,0.000116912109016355,7.32058893448843e-10,0.192893631731182,0.140970950541173,"ANKRD53, AC007040.11"
"chr2",219905564,219907225,1662,"*",11,3.65488472607851e-11,1.92363519460437e-08,0.00138603144693776,1.96467392650898e-09,0.111145622552152,0.026183372240346,"CCDC108"
"chr2",240143798,240143979,182,"*",3,3.67780687491922e-11,2.58740849144459e-10,0.000146192837011908,1.5300637002426e-09,0.17410967157813,0.146288544191653,"HDAC4"
"chr13",99100528,99101488,961,"*",8,3.75735320628489e-11,2.11536683237446e-08,0.000400136310754242,6.17512518085267e-09,0.100943445175646,0.0623314218163471,"FARP1"
"chr1",2994051,2994372,322,"*",2,3.76378302161432e-11,6.57317852810143e-09,1.60687313164635e-05,9.39386218544374e-09,-0.308982901567207,-0.226864294257344,"PRDM16"
"chr10",126205741,126205766,26,"*",2,3.84141436910236e-11,4.15202968648783e-10,2.26717584991837e-05,1.11665564872714e-09,0.243500866173307,0.22913784364122,"LHPP"
"chr17",46796119,46797764,1646,"*",8,3.8619561976105e-11,3.56522836130923e-11,0.000173142192888935,1.99073332995048e-10,0.149002471931174,0.0825830155635656,NA
"chr10",82049858,82050793,936,"*",3,3.87773671602343e-11,2.90923764579086e-08,4.13252711860633e-05,1.06885486077331e-08,-0.211696835389727,-0.117014983446502,NA
"chr3",164913073,164915196,2124,"*",17,3.8911904217101e-11,1.57710318896187e-15,0.000408656097887797,1.17906725311166e-14,0.134323894968608,0.0648016388049359,"SLITRK3"
"chr6",30877739,30879552,1814,"*",14,3.90427296621497e-11,5.85398942359278e-05,0.000141741995987038,4.68600653292786e-08,0.116462044748684,0.0395107197333277,"GTF2H4, VARS2"
"chr10",45914276,45914949,674,"*",6,3.97817891335998e-11,3.4438546202967e-11,0.000237112284863327,2.85625005336031e-10,0.155213391578348,0.107952080069105,"ALOX5"
"chr4",187621221,187623048,1828,"*",8,4.00134327719683e-11,4.81122110469734e-10,0.000212892244871937,2.9154667234426e-10,0.154283646768339,0.0765587204222094,"FAT1"
"chr16",1040373,1041256,884,"*",5,4.00372342745526e-11,1.88504167863867e-07,9.52343218575121e-05,7.16434194166699e-08,-0.199478132359512,-0.115924663282204,"RP11-161M6.3"
"chr6",28793219,28793681,463,"*",3,4.0178110163352e-11,8.15302021466115e-10,3.41999363718712e-05,1.59759414798165e-09,0.196130129794393,0.119391466359645,NA
"chr16",85669875,85672175,2301,"*",10,4.02300872085854e-11,1.54011221564142e-13,0.00139465714719067,1.35689450983208e-12,-0.175999579385549,-0.111725930525574,"GSE1"
"chr6",138482336,138484687,2352,"*",9,4.05576425463119e-11,1.37509692627901e-08,1.6217370860218e-05,1.26597350280046e-11,-0.217967710389922,-0.0426866252934941,"KIAA1244"
"chr2",239495053,239495208,156,"*",3,4.1469067913522e-11,3.18892192954578e-10,2.61329524140341e-05,7.3291670925038e-10,0.225655728959748,0.176799446891321,NA
"chr1",46087792,46089045,1254,"*",4,4.1688271573358e-11,8.9166827732935e-09,4.6771377402094e-05,4.98279091885113e-09,0.147328952844695,0.0766904562060145,"CCDC17"
"chr13",113029350,113030783,1434,"*",3,4.18443526849326e-11,2.04681663561348e-10,2.90619850470639e-05,5.94161422314583e-10,-0.158686507892969,-0.133756505014812,"SPACA7"
"chr2",109934728,109934860,133,"*",3,4.21135511995768e-11,2.96355710766559e-10,2.90619850470639e-05,7.18977179766781e-10,0.163419177782989,0.125933566589279,"SH3RF3"
"chr20",61637360,61639277,1918,"*",9,4.21873341962583e-11,9.12523271688356e-11,0.000330623602415539,3.12599052619958e-10,0.139481315365629,0.0698665968060907,"BHLHE23"
"chr6",2986843,2988997,2155,"*",5,4.24963804603959e-11,2.13216238811931e-14,4.76015099554985e-05,6.06121862021821e-14,-0.180472898776107,-0.0981583662528712,"LINC01011, NQO2"
"chr18",45934156,45935070,915,"*",4,4.25474911530189e-11,3.04085809864969e-08,2.63010663312718e-05,3.05597149640995e-09,0.13863208819089,0.0298769954052591,"ZBTB7C"
"chr1",20396560,20397074,515,"*",5,4.33585833134043e-11,1.52346511762625e-11,0.000427891579499645,2.35506896105923e-10,0.159231675257478,0.112915645423673,"PLA2G5"
"chr10",132912784,132913255,472,"*",5,4.3614008296912e-11,3.29373199404907e-11,0.000129719245202751,2.69239389720719e-10,-0.196703544673996,-0.135420700002717,"TCERG1L"
"chr12",128245593,128246538,946,"*",5,4.40298206235893e-11,2.07572863290293e-07,5.94374652225297e-05,4.48534204951427e-09,-0.237161217138852,-0.145684457505056,NA
"chr3",87137933,87138700,768,"*",7,4.4730600622337e-11,1.09886207380845e-10,0.000123029320589294,6.10709379711343e-10,0.138864508394726,0.0773869875319103,NA
"chr3",195528460,195528709,250,"*",3,4.67154452452924e-11,1.24663076726416e-10,9.94021665278451e-05,7.13465569797199e-10,0.127941595710319,0.114620952041422,"MUC4"
"chr12",104443742,104444418,677,"*",9,4.68444200303738e-11,3.5707632648823e-11,0.000142297600710746,4.00895824099334e-10,0.162828323328987,0.0599950701320491,"GLT8D2"
"chr6",31478133,31478830,698,"*",4,4.69583985151254e-11,6.50085356487212e-12,0.00015527141204417,5.35190042490664e-11,-0.170031568595083,-0.122945331578287,"MICB"
"chr16",2040627,2042103,1477,"*",5,4.73273032889924e-11,6.1394646022706e-11,0.000225920365576,6.43416124051942e-10,0.127272542801727,0.0733728216667199,"SYNGR3"
"chr14",101520078,101521809,1732,"*",15,4.87139018460807e-11,2.13557924640751e-11,0.00020555806989485,7.77801593365649e-12,-0.13966116573506,-0.0860037738094365,"MIR134, MIR485, MIR382"
"chr1",155161784,155163590,1807,"*",9,4.95821786518377e-11,5.53773565603446e-07,0.000453245960178495,1.67760187365132e-09,-0.112423269373579,-0.0561242151432684,"MUC1"
"chr10",130789381,130789492,112,"*",3,4.96354940524418e-11,8.64916292418845e-11,6.26001893220756e-05,4.57960492688425e-10,-0.226831840486196,-0.177474671512847,NA
"chr12",52845930,52846088,159,"*",4,4.97262269508759e-11,2.5787128831081e-11,0.000168771728245293,2.31237006259277e-10,0.182202515397055,0.152538840090496,NA
"chr7",31725973,31726912,940,"*",6,4.98627332395800e-11,8.73151724021729e-12,0.000416514908409342,8.41481262521244e-11,-0.237055707695196,-0.13622822829115,"PPP1R17"
"chr19",47950499,47951619,1121,"*",4,5.00427862607052e-11,9.1635707332569e-11,9.07091239544294e-05,2.93977153896305e-10,0.106245033915376,0.0765840785720866,"SLC8A2"
"chr2",185462269,185463132,864,"*",9,5.00570717898777e-11,1.35882359971879e-08,0.000113130561508572,3.92305443480689e-09,0.168212163791318,0.0706314718115815,"ZNF804A"
"chr17",75451932,75452100,169,"*",3,5.08093810870562e-11,6.3056982638416e-11,0.000111375605962621,3.97712142821597e-10,0.187458164788701,0.158085764913805,"SEPT9"
"chr6",105388153,105389599,1447,"*",8,5.12741356140778e-11,4.3770505766371e-10,0.000357605104845459,9.04403724098405e-10,0.208305426274317,0.0985893198639929,"LINC00577"
"chr10",17496239,17496989,751,"*",5,5.14743731104416e-11,8.8135649725927e-06,5.0040800837282e-05,6.58969301947757e-08,-0.17905324284198,-0.0573844575248035,"ST8SIA6"
"chr17",68099642,68100975,1334,"*",5,5.18908471900941e-11,5.10111901835211e-13,0.000216074487791472,8.2138289361483e-12,-0.24206580717412,-0.185513392526709,"KCNJ16, AC002539.1"
"chr3",27762636,27766382,3747,"*",23,5.20296039337804e-11,1.12435407097253e-16,0.00021015337744888,7.89125125969762e-18,0.146407230550014,0.0575696399555872,"EOMES"
"chr6",29594481,29595661,1181,"*",12,5.29339086394805e-11,9.40799039053509e-10,0.000762311759202106,1.35954172272698e-09,0.124062322958719,0.0593146120922168,"GABBR1"
"chr6",38683035,38683221,187,"*",2,5.30815809271618e-11,6.2997283458931e-10,2.17526190434472e-05,1.59500337406311e-09,0.236873773722497,0.209296209813648,"DNAH8"
"chr4",20254519,20256841,2323,"*",10,5.32779310629223e-11,2.54209169305786e-13,0.00076726385209242,2.62131902511017e-12,0.118483307006827,0.0653212985841394,"SLIT2"
"chr11",1358515,1358675,161,"*",2,5.40848284753737e-11,1.94697680554961e-09,3.41999363718712e-05,5.14355789386739e-09,0.174025220358324,0.134717445953805,NA
"chr3",147139184,147141664,2481,"*",15,5.40849222144404e-11,5.91340471321659e-16,0.00206517578150024,5.60252994829148e-14,0.140221472918504,0.0746103661072486,"ZIC1"
"chr1",151118299,151119372,1074,"*",12,5.52684405575184e-11,0.000138919389839833,0.000200400097497082,1.38068646644359e-07,0.166463841895782,0.0202092907630639,"SEMA6C"
"chr13",95655083,95655579,497,"*",5,5.52684405575184e-11,8.31877313312074e-09,1.56593414355749e-05,3.71872290903655e-09,0.165528804016832,0.0883027790258463,NA
"chr1",47909595,47910914,1320,"*",8,5.5297741544985e-11,5.37325174202512e-08,0.000211267072225726,1.19671141775131e-08,0.13934732779969,0.0773127133857169,NA
"chr8",26308815,26309176,362,"*",2,5.59296797731243e-11,8.46465378207793e-10,2.10188781808068e-05,2.0342839011842e-09,-0.130759851914814,-0.128262878246656,"BNIP3L"
"chr2",176931864,176933407,1544,"*",8,5.70512132568003e-11,2.46830350341442e-08,0.000587752961619042,6.26756017439061e-09,0.131177213629271,0.0827693498968593,NA
"chr20",62167942,62169334,1393,"*",11,5.76199927113623e-11,4.38956270832196e-13,0.0023726261619674,1.06659762039351e-11,-0.107899776560198,-0.054391546325334,"PTK6"
"chr2",242801252,242802192,941,"*",7,5.79578496643018e-11,3.84353145877558e-10,0.000293845961249426,1.22269099862808e-09,0.142846139839254,0.0846090350565376,NA
"chr16",57835436,57837114,1679,"*",7,5.93529807772667e-11,3.84623469577959e-10,0.0001127051906929,2.01772111830333e-11,0.136896133414242,0.0626238394327376,"CTD-2600O9.1, KIFC3"
"chr17",76719591,76719943,353,"*",4,5.96227294440933e-11,3.41156342804812e-10,0.000104097116181579,8.53963709314053e-10,0.131769108781235,0.102065207942298,"CYTH1"
"chr19",17958339,17959281,943,"*",12,5.97322932136319e-11,1.77725458086829e-06,0.0011174185524364,3.63291250026541e-09,0.142285941826023,0.0547207866726445,"JAK3"
"chr6",118228078,118229732,1655,"*",9,5.9952323427887e-11,3.57818201330443e-12,0.000352327332492613,1.68945019127381e-12,0.18256375803618,0.0713198266148942,"SLC35F1"
"chr10",131686103,131686819,717,"*",7,6.01487108377162e-11,1.46998746726673e-08,9.21819180352232e-05,5.62871079159423e-09,-0.178383268512702,-0.0954407595382248,"EBF3"
"chr4",94748617,94751126,2510,"*",17,6.07649958843913e-11,2.38716908464232e-14,0.00113349847545101,1.32533461646622e-13,0.185436229550138,0.0367795478880148,"ATOH1"
"chr1",152881815,152882420,606,"*",3,6.1028192008681e-11,5.198196465648e-10,3.83360949712233e-05,1.49939165268234e-09,-0.239754999588836,-0.153781448712384,"IVL"
"chr6",149805995,149806502,508,"*",5,6.17790081163711e-11,3.87601681004814e-09,4.6870806932196e-05,4.26821005121615e-09,-0.0916632500089083,-0.0688686334702528,"ZC3H12D"
"chr20",31780882,31781697,816,"*",6,6.29463739270498e-11,4.99174085805672e-10,0.000595197096196715,2.8752045106409e-10,-0.158733419911715,-0.0379545025126688,"BPIFA4P"
"chr8",144403126,144403454,329,"*",5,6.2955110546073e-11,1.7284763344199e-11,0.000324383054934847,1.6051036977924e-10,0.146568338971551,0.10366437811337,"TOP1MT"
"chr1",166916762,166917267,506,"*",5,6.33497144243627e-11,1.32435894221712e-05,1.1874098565e-05,2.55149378472933e-08,0.146596864915363,0.0646083122335894,"ILDR2"
"chr16",11276415,11276504,90,"*",3,6.36921176859256e-11,9.0512752673853e-11,7.72874536256711e-05,5.13823869304294e-10,0.192360324573083,0.138600699931864,NA
"chr8",1403050,1404980,1931,"*",7,6.4649577091096e-11,2.61191765495756e-12,5.08721303496278e-05,2.04713242536352e-12,-0.230384325901447,-0.136791444971964,NA
"chr13",36048892,36051073,2182,"*",14,6.46979929891892e-11,7.85723624963364e-16,0.00370523123618547,1.91761513076648e-13,0.146398047899498,0.0931062151379462,"NBEA, MAB21L1"
"chr7",116962626,116964789,2164,"*",9,6.5425826479356e-11,4.53303247516819e-13,0.00129355531536589,6.04877670625122e-12,0.122256126821051,0.0600466891406808,"WNT2"
"chr6",34482411,34482479,69,"*",2,6.61877180825899e-11,9.73299761376688e-10,1.67726712208891e-05,2.0037950242235e-09,0.234274579380969,0.173075084541252,"PACSIN1"
"chr10",124899051,124899894,844,"*",4,6.66656661706232e-11,2.58705186343671e-09,3.62129505730479e-05,5.50526198184967e-10,0.166273130772496,0.112719468723327,NA
"chr20",62665188,62665676,489,"*",3,6.67496622481417e-11,2.41718492342922e-06,1.12888581038037e-05,7.02477621655829e-08,0.125608300392344,0.0785125374618835,"ZNF512B"
"chr8",55379248,55380185,938,"*",4,6.68467665419806e-11,5.17117714203978e-08,1.56593414355749e-05,1.95376420408774e-08,0.125678192059813,0.0841487354400335,NA
"chr21",46378243,46379089,847,"*",5,6.71205940007273e-11,1.2281628854045e-11,0.000279572999225226,1.78497748012876e-10,0.199594918439088,0.124889585915449,"FAM207A"
"chr7",157368923,157371980,3058,"*",14,6.73814851147417e-11,9.3412611535906e-17,0.0023549769971287,3.03236947288926e-14,-0.156207557293459,-0.0961960112214969,"PTPRN2"
"chr3",141516232,141516705,474,"*",6,6.86483913254728e-11,6.34012034868995e-11,0.000334617787139276,3.45672089061229e-10,-0.0913790153580664,-0.0713994903288933,"GRK7"
"chr12",130892289,130892525,237,"*",2,6.93007830875774e-11,3.21334086541336e-09,1.27170432606363e-05,4.12977210801795e-09,-0.187104356117502,-0.185731653372305,"RIMBP2"
"chr20",29955259,29956585,1327,"*",5,7.17489933716965e-11,9.80353871683875e-12,6.36929162062942e-05,1.28020646122157e-11,-0.194481732673383,-0.120966481136352,"DEFB118"
"chr10",121138105,121138206,102,"*",3,7.18354444515599e-11,7.77984361039232e-11,0.000130239749991543,5.04551555008398e-10,0.180089409916087,0.16629704410027,"GRK5"
"chr10",135049598,135050957,1360,"*",27,7.21713457272941e-11,2.09273823521643e-06,0.00235954232351095,9.28100132624928e-08,0.131515694675483,0.028352813787091,"VENTX"
"chr6",6006707,6008381,1675,"*",9,7.24985902970222e-11,6.62378376875542e-12,0.000961881032855589,1.01030535980707e-10,0.171669635849604,0.0745722542647527,"NRN1"
"chr1",6303793,6304499,707,"*",7,7.25137081595338e-11,1.81307609057768e-08,0.00024505763984867,3.816904589457e-09,0.105172247149179,0.0523468780451777,"HES3"
"chr18",76189257,76190811,1555,"*",7,7.28921903830399e-11,7.98546913477814e-14,0.00033928674949283,1.92923453347407e-12,-0.174061023257692,-0.122293362783713,NA
"chr2",209054670,209055251,582,"*",4,7.32966109775281e-11,1.82858213574611e-06,4.28802702519516e-05,5.79141287683258e-08,0.151042135310809,0.0791381463707208,"C2orf80"
"chr12",131417943,131418766,824,"*",5,7.35486229218806e-11,3.22912489646083e-06,0.000105524917279654,3.41363980562565e-08,-0.223280050335786,-0.111413779976527,NA
"chr20",62119492,62120544,1053,"*",3,7.36508878390159e-11,9.34367493584251e-12,2.49622087815629e-05,4.20849187292078e-11,0.22949053852667,0.1424788515334,"EEF1A2"
"chr20",5282836,5282952,117,"*",2,7.46176614945829e-11,1.43549487903021e-08,7.72549537742877e-06,6.89009395779721e-09,-0.203023913671817,-0.177688027784829,"PROKR2"
"chr8",144577094,144577238,145,"*",3,7.47787201572805e-11,1.06061194272394e-10,9.88717836209554e-05,5.97450049352875e-10,0.190970009465763,0.142516886814698,"ZC3H3"
"chr1",153517265,153519850,2586,"*",9,7.64528919384864e-11,5.95863241174377e-15,0.000294059136978155,9.92931178389644e-14,0.122050088462822,0.0806158055372748,"S100A4, S100A3"
"chr10",118956011,118957259,1249,"*",10,7.75269376299752e-11,4.74851286029647e-09,0.000136676675269219,2.10603406647474e-10,-0.166249716190313,-0.0879295157195502,"KCNK18, RP11-501J20.3"
"chr11",20617937,20623259,5323,"*",25,7.81340919579285e-11,1.48178337386379e-26,0.000138949939092502,3.13603585732612e-26,0.256134032445359,0.0720278683667896,"SLC6A5"
"chr11",111249659,111250431,773,"*",9,7.81340919579285e-11,2.6062685967756e-09,0.000569047401809871,4.06973746311625e-09,0.130157887534777,0.0652983707767342,"POU2AF1"
"chr4",2733397,2733970,574,"*",5,7.88428324256461e-11,8.27721501251683e-08,0.000252219608925258,1.35994324890075e-09,0.122592931571661,0.0786491134602338,"FAM193A"
"chr1",115631930,115632727,798,"*",10,7.92527440152898e-11,7.78105961056276e-11,0.00277748205901435,1.9802198402019e-10,0.0577868013405423,0.0341930994375636,"TSPAN2"
"chr11",126453681,126453743,63,"*",3,7.92813882806663e-11,1.02124734175803e-10,9.72761232299342e-05,5.92812588256834e-10,-0.22003649317493,-0.181695243171234,"KIRREL3-AS1, KIRREL3"
